№,Title,Artist(s),Year,No.
1,"""I Will Always Love You""",Whitney Houston,1993,
2,"""Whoomp! (There It Is)""",Tag Team,1993,
3,"""Can't Help Falling in Love""",UB40,1993,
4,"""That's the Way Love Goes""",Janet Jackson,1993,
5,"""Freak Me""",Silk,1993,
6,"""Weak""",SWV,1993,
7,"""If I Ever Fall in Love""",Shai,1993,
8,"""Dreamlover""",Mariah Carey,1993,
9,"""Rump Shaker""",Wreckx-n-Effect,1993,
10,"""Informer""",Snow,1993,
11,"""Nuthin' but a 'G' Thang""",Dr. Dre,1993,
12,"""In the Still of the Nite""",Boyz II Men,1993,
13,"""Don't Walk Away""",Jade,1993,
14,"""Knockin' da Boots""",H-Town,1993,
15,"""Lately""",Jodeci,1993,
16,"""Dazzey Duks""",Duice,1993,
17,"""Show Me Love""",Robin S.,1993,
18,"""A Whole New World""",Peabo Bryson and Regina Belle,1993,
19,"""If""",Janet Jackson,1993,
20,"""I'm So Into You""",SWV,1993,
21,"""Love Is""",Vanessa Williams and Brian McKnight,1993,
22,"""Runaway Train""",Soul Asylum,1993,
23,"""I'll Never Get Over You (Getting Over Me)""",Exposé,1993,
24,"""Ditty""",Paperboy,1993,
25,"""Rhythm Is a Dancer""",Snap!,1993,
26,"""The River of Dreams""",Billy Joel,1993,
27,"""I'm Gonna Be (500 Miles)""",The Proclaimers,1993,
28,"""Two Princes""",Spin Doctors,1993,
29,"""Right Here (Human Nature)"" / ""Downtown""",SWV,1993,
30,"""I Have Nothing""",Whitney Houston,1993,
31,"""Mr. Wendal""",Arrested Development,1993,
32,"""Have I Told You Lately""",Rod Stewart,1993,
33,"""Saving Forever for You""",Shanice,1993,
34,"""Ordinary World""",Duran Duran,1993,
35,"""If I Had No Loot""",Tony! Toni! Toné!,1993,
36,"""I'd Do Anything for Love (But I Won't Do That)""",Meat Loaf,1993,
37,"""Slam""",Onyx,1993,
38,"""Looking Through Patient Eyes""",P.M. Dawn,1993,
39,"""I'm Every Woman""",Whitney Houston,1993,
40,"""Baby I'm Yours""",Shai,1993,
41,"""Come Undone""",Duran Duran,1993,
42,"""I Don't Wanna Fight""",Tina Turner,1993,
43,"""I'd Die Without You""",P.M. Dawn,1993,
44,"""Whoot, There It Is""",95 South,1993,
45,"""Hip Hop Hooray""",Naughty by Nature,1993,
46,"""Another Sad Love Song""",Toni Braxton,1993,
47,"""Will You Be There""",Michael Jackson,1993,
48,"""Comforter""",Shai,1993,
49,"""Good Enough""",Bobby Brown,1993,
50,"""What's Up?""",4 Non Blondes,1993,
51,"""All That She Wants""",Ace of Base,1993,
52,"""7""",Prince and The New Power Generation,1993,
53,"""Dre Day""",Dr. Dre,1993,
54,"""One Last Cry""",Brian McKnight,1993,
55,"""Just Kickin' It""",Xscape,1993,
56,"""I Get Around""",2Pac,1993,
57,"""Bed of Roses""",Bon Jovi,1993,
58,"""Real Love""",Mary J. Blige,1993,
59,"""Here We Go Again!""",Portrait,1993,
60,"""Cryin'""",Aerosmith,1993,
61,"""Cat's in the Cradle""",Ugly Kid Joe,1993,
62,"""What About Your Friends""",TLC,1993,
63,"""I Got a Man""",Positive K,1993,
64,"""Hey Mr. D.J.""",Zhané,1993,
65,"""Insane in the Brain""",Cypress Hill,1993,
66,"""Deeper and Deeper""",Madonna,1993,
67,"""Rain""",,1993,
68,"""The Right Kind of Love""",Jeremy Jordan,1993,
69,"""Bad Boys""",Inner Circle,1993,
70,"""That's What Love Can Do""",Boy Krazy,1993,
71,"""Do You Believe in Us""",Jon Secada,1993,
72,"""Angel""",,1993,
73,"""Forever in Love""",Kenny G,1993,
74,"""Again""",Janet Jackson,1993,
75,"""Boom! Shake the Room""",DJ Jazzy Jeff & The Fresh Prince,1993,
76,"""When She Cries""",Restless Heart,1993,
77,"""Sweat (A La La La La Long)""",Inner Circle,1993,
78,"""It Was a Good Day""",Ice Cube,1993,
79,"""More and More""",Captain Hollywood Project,1993,
80,"""How Do You Talk to an Angel""",The Heights,1993,
81,"""Rebirth of Slick (Cool Like Dat)""",Digable Planets,1993,
82,"""What Is Love""",Haddaway,1993,
83,"""To Love Somebody""",Michael Bolton,1993,
84,"""Give It Up, Turn It Loose""",En Vogue,1993,
85,"""Alright""",Kris Kross featuring Super Cat,1993,
86,"""Check Yo Self""",Ice Cube featuring Das EFX,1993,
87,"""Fields of Gold""",Sting,1993,
88,"""Ooh Child""",Dino,1993,
89,"""Faithful""",Go West,1993,
90,"""Reason to Believe""",Rod Stewart,1993,
91,"""Break It Down Again""",Tears for Fears,1993,
92,"""Nothin' My Love Can't Fix""",Joey Lawrence,1993,
93,"""Three Little Pigs""",Green Jellÿ,1993,
94,"""Livin' on the Edge""",Aerosmith,1993,
95,"""Hey Jealousy""",Gin Blossoms,1993,
96,"""If I Ever Lose My Faith in You""",Sting,1993,
97,"""Anniversary""",Tony! Toni! Toné!,1993,
98,"""One Woman""",Jade,1993,
99,"""Can't Get Enough of Your Love""",Taylor Dayne,1993,
100,"""Two Steps Behind""",Def Leppard,1993,
1,"""The Sign""",Ace of Base,1994,
2,"""I Swear""",All-4-One,1994,
3,"""I'll Make Love to You""",Boyz II Men,1994,
4,"""The Power of Love""",Celine Dion,1994,
5,"""Hero""",Mariah Carey,1994,
